,Unnamed: 0,filename,artist,title,style,genre,date
26,33,99733.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
27,34,73690.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
28,35,93715.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
29,36,47170.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
43,52,17354.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Abandonment (The pair),Post-Impressionism,genre painting,1895
70,86,65341.jpg,8cdd41002b7b5c5d112865054a7fe13e,KG Brücke,Expressionism,poster,1910
88,107,51728.jpg,8cdd41002b7b5c5d112865054a7fe13e,Red Tree on the Beach,Expressionism,landscape,1913
96,120,82971.jpg,8cdd41002b7b5c5d112865054a7fe13e,Cows at Sunset,Expressionism,animal painting,1919
98,122,96372.jpg,8cdd41002b7b5c5d112865054a7fe13e,In the Greenhouse,Expressionism,genre painting,c.1916
109,140,101495.jpg,8cdd41002b7b5c5d112865054a7fe13e,Girl with Cat (Franzi),Expressionism,genre painting,1910
118,163,34679.jpg,c8041306a183cbaf39ff8cd707c9cc7f,Months of year first page,Art Nouveau (Modern),illustration,1890.0
185,252,80078.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,"The Five Painters: Bonnard, Vuillard, Roussel, Cottet and Vallotton",Magic Realism,portrait,1902
294,380,43868.jpg,8cdd41002b7b5c5d112865054a7fe13e,Women and Sculptures on the Beach,Expressionism,sketch and study,c.1912
342,438,60691.jpg,8cdd41002b7b5c5d112865054a7fe13e,Erna Japanschirm,Expressionism,portrait,1913
354,451,64210.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Greens (Seated Woman in a Garden),Post-Impressionism,portrait,1891
387,485,47417.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Sceleton,Ukiyo-e,allegorical painting,
426,534,45482.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,View of Honfleur ,Magic Realism,landscape,1910
