,Unnamed: 0,filename,artist,title,style,genre,date
2,2,29855.jpg,96e5bc98488ed589b9bf17ad9fd09371,Night March of a Hundred Demons (left half),Yamato-e,mythological painting,
8,9,99442.jpg,d09f796f2b0aa11dffc88badd9806119,Storm at sea,Romanticism,marina,1873
19,21,71024.jpg,782192dc825c7c1149825adcb7caacbc,Crane in Waves,Ukiyo-e,animal painting,1835
20,22,70728.jpg,b6095eab35b7f0abfbe5687ed8329293,Self-portrait,Baroque,self-portrait,c.1645
21,24,59486.jpg,2de183deab2a0772fd2b478f56d7c3e1,Self Portrait ,Baroque,self-portrait,1635
25,32,80897.jpg,0052cc81f35d53736ab860be16fc07f4,Azalées ,Fauvism,flower painting,1905.0
31,38,42278.jpg,c5d221866879b9c2c6781275eebf7b68,"La Ragazza, Il Dado",,figurative,1970
36,44,56906.jpg,3a320926ef941d53716127548523450c,The Fighting Temeraire tugged to her last berth to be broken up,Romanticism,marina,1839
37,46,48590.jpg,bc05d13501bcf1fbca160ee8c3dec5cc,Landscape with Aeneas at Delos,Classicism,mythological painting,1672
46,55,45704.jpg,450fc8bc8b9924db9bd48172f6498d3b,Self portrait,Rococo,self-portrait,c.1757
49,59,81750.jpg,d09f796f2b0aa11dffc88badd9806119,The Ninth Wave,Romanticism,marina,1850
58,69,4123.jpg,c5d221866879b9c2c6781275eebf7b68,Autoritratto,,self-portrait,1915
61,73,78931.jpg,c5d221866879b9c2c6781275eebf7b68,La Famiglia del Pescatore,,nude painting (nu),1928
62,74,38535.jpg,c5d221866879b9c2c6781275eebf7b68,Meriggio,,figurative,1967
64,76,43517.jpg,3524ecd495d905ffbe4f424717d747a1,Sleeping Venus and Cupid,Classicism,mythological painting,c.1630
69,85,26065.jpg,ede635e53e1b4a905bbea74de30371cf,Bacchus and Ariadne,High Renaissance,mythological painting,1523
72,88,70002.jpg,c5d221866879b9c2c6781275eebf7b68,Natura Morta con Venere,,symbolic painting,1942
75,91,51415.jpg,46200eee40e22039aef7a5944bb445c9,"Girl's Head. Cover design Ver Sacrum, 204, 1899.",Art Nouveau (Modern),design,1899
76,92,91879.jpg,50900e56a7480824436d7ad7f83fcc2b,Self-Portrait,Baroque,self-portrait,c.1749
79,96,3306.jpg,96e5bc98488ed589b9bf17ad9fd09371,Night March of a Hundred Demons (detail),Yamato-e,mythological painting,
85,103,100478.jpg,46200eee40e22039aef7a5944bb445c9,Cover design of the first publication of the Association of Austrian Artists Secession,Art Nouveau (Modern),design,1897
95,119,26741.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, drawing of western window ",Art Nouveau (Modern),design,
96,120,82971.jpg,8cdd41002b7b5c5d112865054a7fe13e,Cows at Sunset,Expressionism,animal painting,1919
97,121,33542.jpg,c5d221866879b9c2c6781275eebf7b68,Conchiglia e Fiori,,symbolic painting,1944
106,134,48541.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, design for the east side windows",Art Nouveau (Modern),design,1905
107,137,49873.jpg,46200eee40e22039aef7a5944bb445c9,Mermaid,Art Nouveau (Modern),mythological painting,1914
111,142,38397.jpg,46200eee40e22039aef7a5944bb445c9,Self-Portrait with mermaid,Art Nouveau (Modern),self-portrait,1914
112,143,74307.jpg,e5ff34fd17269062c990b15bc47c280a,On the Lotus Pond,Ink and wash painting,flower painting,1707.0
122,168,74191.jpg,cbce74dfa33682d02ed4f69bc206917f,Striped Trousers,Surrealism,figurative,
128,175,99522.jpg,46200eee40e22039aef7a5944bb445c9,Standing youth,Art Nouveau (Modern),nude painting (nu),c.1915
130,177,83567.jpg,46200eee40e22039aef7a5944bb445c9,"Vignettes for the catalog  Secessionausstellung, 1898",Art Nouveau (Modern),design,1898
131,178,24036.jpg,d726ec797ea4a9d73a46fc21756265e1,Self Portrait as a Young Man,Baroque,self-portrait,1623
137,188,76278.jpg,46200eee40e22039aef7a5944bb445c9,The light,Art Nouveau (Modern),symbolic painting,c.1914
145,200,51073.jpg,46200eee40e22039aef7a5944bb445c9,Envelope for the score to the opera Julius Bittner's opera 'The musician',Art Nouveau (Modern),design,1909
151,208,80947.jpg,46200eee40e22039aef7a5944bb445c9,Wotan and Brunhilde,Art Nouveau (Modern),mythological painting,c.1915
155,216,74857.jpg,46200eee40e22039aef7a5944bb445c9,Female Nude with blue cloth,Art Nouveau (Modern),nude painting (nu),c.1913
163,224,53600.jpg,cd56f7f46b19cff44fb6700a3808ab9c,Self-portrait,Art Nouveau (Modern),self-portrait,
164,225,73923.jpg,46200eee40e22039aef7a5944bb445c9,Design for the anniversary card Korrespodenz (Vienna edition),Art Nouveau (Modern),design,1908
190,258,80633.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Two mice, one lying on the ground with head resting on forepaws",Ukiyo-e,animal painting,
200,270,8421.jpg,4ba48c65db9c25bb7cac995431a495c5,View of the Town of Boston ,Rococo,marina,1774.0
204,274,29159.jpg,46200eee40e22039aef7a5944bb445c9,Draft of furniture decoration for the bedroom of the apartment Eisler Terra Mare,Art Nouveau (Modern),design,1902
216,287,67649.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Kazusa sea route,Ukiyo-e,marina,
235,311,42265.jpg,46200eee40e22039aef7a5944bb445c9,Flowers,Art Nouveau (Modern),design,c.1904
241,318,40401.jpg,facb8013e0ad77b41ecbdf661f440c03,Study of a Dapple Grey,Romanticism,animal painting,1824
