,Unnamed: 0,filename,artist,title,style,genre,date
8,9,99442.jpg,d09f796f2b0aa11dffc88badd9806119,Storm at sea,Romanticism,marina,1873
16,18,7486.jpg,83e9823eb4868ca162fd3b7adff70096,Death of Eleazer,Romanticism,religious painting,1866
17,19,35766.jpg,83e9823eb4868ca162fd3b7adff70096,The-Deluge,Romanticism,religious painting,
20,22,70728.jpg,b6095eab35b7f0abfbe5687ed8329293,Self-portrait,Baroque,self-portrait,c.1645
22,25,77921.jpg,a087f33967e659c63924aa07c89b948f,Charity,Northern Renaissance,allegorical painting,1534
23,27,39751.jpg,53128585a400eea9a4df4ff3ec89db41,Bathers at Asnières ,Pointillism,,1884
24,30,57581.jpg,85e60fb5d2a65debda52dc3e32f76789,The Last Judgement,High Renaissance,religious painting,1541
26,33,99733.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
27,34,73690.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
28,35,93715.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
29,36,47170.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
30,37,29331.jpg,db1318d32df7428076e03513ebf762bb,Roger and Angelica,Symbolism,literary painting,1910
36,44,56906.jpg,3a320926ef941d53716127548523450c,The Fighting Temeraire tugged to her last berth to be broken up,Romanticism,marina,1839
38,47,31337.jpg,53128585a400eea9a4df4ff3ec89db41,Study for A Sunday on La Grande Jatte,Pointillism,genre painting,1884
43,52,17354.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Abandonment (The pair),Post-Impressionism,genre painting,1895
44,53,41541.jpg,82665201c4108381d854740ddcb86e67,Open Door on a Garden,Art Nouveau (Modern),interior,1934
46,55,45704.jpg,450fc8bc8b9924db9bd48172f6498d3b,Self portrait,Rococo,self-portrait,c.1757
47,57,840.jpg,e8eae9a2f53456f01d601ae153f76a2d,Boy with a Greyhound,Mannerism (Late Renaissance),portrait,
49,59,81750.jpg,d09f796f2b0aa11dffc88badd9806119,The Ninth Wave,Romanticism,marina,1850
65,77,19834.jpg,79f6b47483600c140c91e901f746a368,Leveil Heart,Realism,genre painting,1892
66,78,27067.jpg,79f6b47483600c140c91e901f746a368,The Heart's Awakening,Neoclassicism,allegorical painting,1892
67,79,40672.jpg,397c63db1c7b507d23abff3f8bb0fa18,Lady with a Lap Dog,Baroque,portrait,
68,82,21113.jpg,46200eee40e22039aef7a5944bb445c9,Mermaid. Illustration for Jugendschatz German seals.,Art Nouveau (Modern),illustration,c.1896
69,85,26065.jpg,ede635e53e1b4a905bbea74de30371cf,Bacchus and Ariadne,High Renaissance,mythological painting,1523
70,86,65341.jpg,8cdd41002b7b5c5d112865054a7fe13e,KG Brücke,Expressionism,poster,1910
75,91,51415.jpg,46200eee40e22039aef7a5944bb445c9,"Girl's Head. Cover design Ver Sacrum, 204, 1899.",Art Nouveau (Modern),design,1899
76,92,91879.jpg,50900e56a7480824436d7ad7f83fcc2b,Self-Portrait,Baroque,self-portrait,c.1749
78,94,15569.jpg,46200eee40e22039aef7a5944bb445c9,Happy editing. Illustration with self-portrait.,Art Nouveau (Modern),illustration,c.1895
85,103,100478.jpg,46200eee40e22039aef7a5944bb445c9,Cover design of the first publication of the Association of Austrian Artists Secession,Art Nouveau (Modern),design,1897
87,106,92409.jpg,46200eee40e22039aef7a5944bb445c9,Girl in Landscape,Art Nouveau (Modern),portrait,1898
88,107,51728.jpg,8cdd41002b7b5c5d112865054a7fe13e,Red Tree on the Beach,Expressionism,landscape,1913
89,108,95360.jpg,a6027a4ba71b61a55ea598379c9d508c,Interior (The Rape),Impressionism,interior,1869
91,112,61952.jpg,46200eee40e22039aef7a5944bb445c9,Serpentine dancer. Poster design for Lois Fuller.,Art Nouveau (Modern),poster,c.1902
93,116,11057.jpg,46200eee40e22039aef7a5944bb445c9,Pine forest in winter,Art Nouveau (Modern),landscape,c.1907
95,119,26741.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, drawing of western window ",Art Nouveau (Modern),design,
96,120,82971.jpg,8cdd41002b7b5c5d112865054a7fe13e,Cows at Sunset,Expressionism,animal painting,1919
98,122,96372.jpg,8cdd41002b7b5c5d112865054a7fe13e,In the Greenhouse,Expressionism,genre painting,c.1916
99,123,66723.jpg,c7410238d399d9f454123e59b059fdd2,The Open Window,Cubism,still life,1921
104,132,60983.jpg,79f6b47483600c140c91e901f746a368,The Song of the Nightingale,Neoclassicism,portrait,
105,133,80950.jpg,46200eee40e22039aef7a5944bb445c9,Study of Portrait of Venus in the Grotto,Art Nouveau (Modern),sketch and study,c.1914
106,134,48541.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, design for the east side windows",Art Nouveau (Modern),design,1905
107,137,49873.jpg,46200eee40e22039aef7a5944bb445c9,Mermaid,Art Nouveau (Modern),mythological painting,1914
109,140,101495.jpg,8cdd41002b7b5c5d112865054a7fe13e,Girl with Cat (Franzi),Expressionism,genre painting,1910
111,142,38397.jpg,46200eee40e22039aef7a5944bb445c9,Self-Portrait with mermaid,Art Nouveau (Modern),self-portrait,1914
118,163,34679.jpg,c8041306a183cbaf39ff8cd707c9cc7f,Months of year first page,Art Nouveau (Modern),illustration,1890.0
120,166,43030.jpg,46200eee40e22039aef7a5944bb445c9,Mountain ranges,Symbolism,landscape,1913
121,167,78338.jpg,46200eee40e22039aef7a5944bb445c9,Judith and Holofernes,Art Nouveau (Modern),religious painting,1916
124,170,40197.jpg,46200eee40e22039aef7a5944bb445c9,Dancer Miss Olga George,Art Nouveau (Modern),portrait,1911
128,175,99522.jpg,46200eee40e22039aef7a5944bb445c9,Standing youth,Art Nouveau (Modern),nude painting (nu),c.1915
130,177,83567.jpg,46200eee40e22039aef7a5944bb445c9,"Vignettes for the catalog  Secessionausstellung, 1898",Art Nouveau (Modern),design,1898
132,179,34382.jpg,342d7068656b00878b23e1031a3ddf50,Portrait of Henrietta Girshman,Art Nouveau (Modern),portrait,1907.0
133,182,5303.jpg,82665201c4108381d854740ddcb86e67,Lady in Blue. Portrait of the Artist Yelizaveta Martynova,Realism,portrait,1900
136,186,36041.jpg,46200eee40e22039aef7a5944bb445c9,Spring morning,Art Nouveau (Modern),allegorical painting,1896
137,188,76278.jpg,46200eee40e22039aef7a5944bb445c9,The light,Art Nouveau (Modern),symbolic painting,c.1914
140,193,97649.jpg,46200eee40e22039aef7a5944bb445c9,Girls in henhouse,Realism,genre painting,1897
143,198,47592.jpg,b6095eab35b7f0abfbe5687ed8329293,Portrait of Philip IV of Spain,Baroque,portrait,1656
145,200,51073.jpg,46200eee40e22039aef7a5944bb445c9,Envelope for the score to the opera Julius Bittner's opera 'The musician',Art Nouveau (Modern),design,1909
