,Unnamed: 0,filename,artist,title,style,genre,date
5,5,53180.jpg,782192dc825c7c1149825adcb7caacbc,Camellia and Bush Warbler,Ukiyo-e,bird-and-flower painting,1844
7,8,48138.jpg,3a40b18a78ceb822961393c50bdb522b,Snowy landscape with a woman brandishing a broom and a man holding an umbrella,Ukiyo-e,landscape,
9,10,23508.jpg,782192dc825c7c1149825adcb7caacbc,Hydrangea and Kingfisher,Ukiyo-e,bird-and-flower painting,
10,12,27254.jpg,782192dc825c7c1149825adcb7caacbc,"Moon, Swallows and Peach Blossoms",Ukiyo-e,bird-and-flower painting,1850
11,13,47145.jpg,782192dc825c7c1149825adcb7caacbc,Sparrows and Camellias in the Snow,Ukiyo-e,bird-and-flower painting,1838
13,15,16876.jpg,44eee069716bb323fdde08eecdcd9c74,The Madonna in the Church,Northern Renaissance,religious painting,1439
19,21,71024.jpg,782192dc825c7c1149825adcb7caacbc,Crane in Waves,Ukiyo-e,animal painting,1835
22,25,77921.jpg,a087f33967e659c63924aa07c89b948f,Charity,Northern Renaissance,allegorical painting,1534
24,30,57581.jpg,85e60fb5d2a65debda52dc3e32f76789,The Last Judgement,High Renaissance,religious painting,1541
26,33,99733.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
27,34,73690.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
28,35,93715.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
29,36,47170.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Dipicting the characters from the Chushingura,Ukiyo-e,illustration,
42,51,5194.jpg,accb302082074fa3b73308a2e42f1fd4,Portrait of Giovanni della Volta with his Wife and Children,High Renaissance,portrait,1547
45,54,55537.jpg,48fc8e17fb4d3cb68c2d0112491f60f1,Madonna of the Meadow (Madonna del Prato),High Renaissance,religious painting,1505
46,55,45704.jpg,450fc8bc8b9924db9bd48172f6498d3b,Self portrait,Rococo,self-portrait,c.1757
48,58,50097.jpg,b15d8d493527dccb0b3e02b1ef65258d,Netherlandish Proverbs,Northern Renaissance,allegorical painting,1559
63,75,820.jpg,accb302082074fa3b73308a2e42f1fd4,A Lady with a Drawing of Lucretia,High Renaissance,portrait,c.1531
66,78,27067.jpg,79f6b47483600c140c91e901f746a368,The Heart's Awakening,Neoclassicism,allegorical painting,1892
69,85,26065.jpg,ede635e53e1b4a905bbea74de30371cf,Bacchus and Ariadne,High Renaissance,mythological painting,1523
73,89,75802.jpg,acd9b34941d5485b6ffcf6836e07149f,"Four shop signs (Hygieia, Hippocrates, Galen and Fauna) for the pharmacy, The Golden Lion in Josefstadt ",Neoclassicism,advertisement,1826
74,90,216.jpg,782192dc825c7c1149825adcb7caacbc,Plum Blossom and Bush Warbler,Ukiyo-e,bird-and-flower painting,1838
77,93,32829.jpg,7763fea74bc9c6bdb0430dbed140d5c7,Visit to a peony garden,Ukiyo-e,genre painting,
94,117,102176.jpg,782192dc825c7c1149825adcb7caacbc,Small Bird on a Branch of Kaidozakura,Ukiyo-e,bird-and-flower painting,1848
99,123,66723.jpg,c7410238d399d9f454123e59b059fdd2,The Open Window,Cubism,still life,1921
104,132,60983.jpg,79f6b47483600c140c91e901f746a368,The Song of the Nightingale,Neoclassicism,portrait,
135,185,93018.jpg,b223caa3b80154b3741fff3af42566c9,Death of Viala,Neoclassicism,history painting,
149,205,102671.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Madonna with St. Mary Magdalene and St. John the Baptist ,High Renaissance,religious painting,1506
152,209,5145.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Agony In The Garden,Northern Renaissance,religious painting,1508
156,217,73147.jpg,5f5b31e07a9f529fab95992e6ef63c47,The Golden Age,Rococo,portrait,1776
157,218,7700.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Engraving on copper of a Foolish Virgin,Northern Renaissance,religious painting,c.1480
158,219,30376.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Altarpiece of the Dominicans: The Mystical Hunt,Northern Renaissance,religious painting,
159,220,1089.jpg,96b1e2ecd1eb346bcf571bc910ff14a0,Engraving on copper of the Annunciation,Northern Renaissance,religious painting,c.1480
167,229,97348.jpg,a087f33967e659c63924aa07c89b948f,Madonna,Northern Renaissance,religious painting,1514
184,250,29391.jpg,5f5b31e07a9f529fab95992e6ef63c47,Woodcutters in Windsor Park,Rococo,genre painting,1795
186,253,86506.jpg,c3476c06a03ae311a7a57705b315ae88,The Fountain of Love,Rococo,allegorical painting,c.1785
189,256,82905.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Climbing on Mt. Fuji,Ukiyo-e,landscape,
190,258,80633.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Two mice, one lying on the ground with head resting on forepaws",Ukiyo-e,animal painting,
193,263,90839.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Mishima pass in Kai province,Ukiyo-e,landscape,
196,266,8959.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji seen from the gay quarter in Senju,Ukiyo-e,genre painting,
198,268,71886.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Shichiri beach in Sagami province,Ukiyo-e,landscape,
200,270,8421.jpg,4ba48c65db9c25bb7cac995431a495c5,View of the Town of Boston ,Rococo,marina,1774.0
201,271,19525.jpg,e45d15fb0b64d7230ef48365fc992ced,Portrait of E. I. Molchanova,Rococo,portrait,1776
203,273,13418.jpg,e45d15fb0b64d7230ef48365fc992ced,Count Artemiy Vorontsov,Rococo,portrait,
205,275,59682.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Fujimi Fuji view field in the Owari province,Ukiyo-e,genre painting,
206,276,88250.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Shimomeguro,Ukiyo-e,landscape,
207,278,18147.jpg,2196c96d3612334fa07aa43daa6ef322,The Dream,Naïve Art (Primitivism),allegorical painting,1910
208,279,65771.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fields of Sekiya by the Sumida River,Ukiyo-e,genre painting,1831
209,280,98553.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The lake of Hakone in the Segami province,Ukiyo-e,landscape,
215,286,42726.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Tea plantation of Katakura in the Suruga province,Ukiyo-e,landscape,
216,287,67649.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Kazusa sea route,Ukiyo-e,marina,
217,288,100455.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Umegawa in Sagami province,Ukiyo-e,landscape,
219,291,37568.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Senju in the Musachi provimce,Ukiyo-e,genre painting,
223,296,36862.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Sazai hall,Ukiyo-e,genre painting,
224,298,8517.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Shore of Tago Bay, Ejiri at Tokaido",Ukiyo-e,landscape,1832
226,300,76100.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Honjo Tatekawa, the timberyard at Honjo",Ukiyo-e,genre painting,
228,302,19944.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji from Kanaya on the Tokaido,Ukiyo-e,landscape,
229,303,71417.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Enoshima in the Sagami province,Ukiyo-e,landscape,
230,305,83008.jpg,0262857af5392345a4d9f852b55369e2,Man with a Pink Carnation,High Renaissance,portrait,c.1495
232,307,34897.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Bay of Noboto,Ukiyo-e,landscape,
233,309,83076.jpg,1b75de7e18ba6fa547a7aed27b4fb355,The Virgin and Child with Saint Anne and Saint John the Baptist,High Renaissance,religious painting,c.1499
236,312,76118.jpg,9aedafc30e2a675b8d761b0b313e2376,Marquise de Pompadour,Rococo,portrait,c.1750
239,316,59679.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Kajikazawa in Kai Province,Ukiyo-e,genre painting,
243,320,19346.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Watermill at Onden,Ukiyo-e,genre painting,
245,322,92045.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Fuji seen through the Mannen bridge at Fukagawa,Ukiyo-e,landscape,
246,323,9944.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Nakahara in the Sagami province,Ukiyo-e,genre painting,
